Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
PERMISOS;VIAG-32356-2026;_84-33-9;MSMA 72 SL;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;LITROS;9500;MALASIA;MALASIA;PUERTO QUETZAL; $40,470.00 ; Q310,085.19 ; Q541.00 ;TAHUAL AGRICOLA, S.A. - Malasia                                           ;72% ;MONOSODIUMMETHYLARSONATE;VAI
PERMISOS;VIAG-32357-2026;_84-37A-27;CLOROTALONIL 72 SC;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;LITROS;8316;CHINA;CHINA;PUERTO QUETZAL; $42,910.56 ; Q328,785.00 ; Q560.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;72% ;Chlorothalonil;VAI
PERMISOS;VIAG-32358-2026;_752-EQ-155-6;AZOXISTROBIN  TECNICO;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;750;CHINA;CHINA;PUERTO QUETZAL; $18,825.00 ; Q144,239.03 ; Q375.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;98% ;Azoxystrobin;VAI
LICENCIAS;VIAG-32359-2026;779-F-5050-21;CLORURO DE CALCIO;NOVEDADES E INNOVADORA AGROQUIMICOS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;86250;CHINA;CHINA;PUERTO QUETZAL; $23,632.50 ; Q176.23 ; Q412.00 ;STAR GRACE AGRICULTURE CO., LTD. - China                                             ;47.8% ;CaO;VAI
PERMISOS;VIAG-32360-2026;_752-143-5;BIFENTHRIN TECNICO;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;525;CHINA;CHINA;PUERTO QUETZAL; $13,009.50 ; Q99,680.09 ; Q230.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;90% ;Bifenthrin;VAI
PERMISOS;VIAG-32361-2026;724-175;TRATAVIN 35 FS;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;20/01/2026;LITROS;576;CHINA;CHINA;PUERTO QUETZAL; $7,349.76 ; Q56,311.27 ; Q1,695.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;35% ;Thiodicarb;VAI
PERMISOS;VIAG-32362-2026;724-221;ACROMORPH 50 WP;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;720;CHINA;CHINA;PUERTO QUETZAL; $8,539.20 ; Q65,429.58 ; Q1,786.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;50% ;Dimethomorph;VAI
PERMISOS;VIAG-32363-2026;_786-157-5;TERBUFOS TECNICO;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;6810;INDIA;INDIA;PUERTO QUETZAL; $51,006.90 ; Q390,819.97 ; Q622.00 ;TAHUAL AGRICOLA, S.A. - India                                             ;86% ;Terbufos;VAI
LICENCIAS;VIAG-32364-2026;779-F-8017-21;SULFATO DE MAGNESIO HEPTAHIDRATADO;NOVEDADES E INNOVADORA AGROQUIMICOS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;200000;CHINA;CHINA;PUERTO QUETZAL; $33,800.00 ; Q258,978.98 ; Q490.00 ;STAR GRACE AGRICULTURE CO., LTD. - China                                             ;16% + 13% ;MgO, S;VAI
PERMISOS;VIAG-32365-2026;724-96;DIUPAX 80 SC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;20/01/2026;LITROS;576;CHINA;CHINA;PUERTO QUETZAL; $3,893.76 ; Q29,829.88 ; Q1,430.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;80% ;Diuron;VAI
